                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.4742,                 1.2298,                 1.1661,                0.54784,                 0.5148,                0.48865,                0.21476,                  2.208,                 2.1249,                 1.7354,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.5067,                 1.3815,                 1.1474,                0.60913,                   0.53,                0.58901,                0.22505,                 2.1916,                 2.1358,                 1.7062,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.3675,                 1.2547,                  1.134,                0.60913,                   0.53,                0.58901,                0.22505,                 2.1916,                 2.1358,                 1.7062,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.5477,                  1.197,                 1.2383,                0.61903,                   0.51,                0.58135,                0.21297,                 2.2182,                 2.1784,                 1.7158,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.5753,                 1.3864,                 1.1968,                0.61903,                   0.51,                0.58135,                0.21297,                 2.2182,                 2.1784,                 1.7158,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.4819,                 1.2567,                 1.1747,                0.57565,                 0.5725,                0.57037,                0.21961,                 2.2552,                 2.1596,                 1.7449,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.3519,                 1.2228,                  1.122,                0.57565,                 0.5725,                0.57037,                0.21961,                 2.2552,                 2.1596,                 1.7449,                0.00026,                0.00026,                0.00026
                     82,                  1.402,                 1.4002,                 1.2334,                0.75179,                0.50672,                0.60612,                0.24233,                 2.2488,                 2.0724,                 1.7836,             0.00024762,             0.00024762,             0.00024762
                     83,                  1.409,                 1.1671,                 1.1164,                0.75179,                0.50672,                0.60612,                0.24233,                 2.2488,                 2.0724,                 1.7836,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.3116,                  1.231,                 1.1193,                0.63686,                 0.5725,                0.60736,                0.24726,                 2.2453,                 2.0717,                 1.7931,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.3313,                 1.1737,                 1.0874,                0.63686,                 0.5725,                0.60736,                0.24726,                 2.2453,                 2.0717,                 1.7931,              0.0002105,              0.0002105,              0.0002105
                     86,                   1.36,                 1.1684,                 1.1178,                 0.5905,                0.66301,                0.65457,                0.27505,                 2.2678,                 2.0208,                 1.8164,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.4517,                 1.2109,                 1.1565,                 0.5905,                0.66301,                0.65457,                0.27505,                 2.2678,                 2.0208,                 1.8164,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.3559,                 1.2033,                 1.0576,                0.57844,                0.65259,                 0.6527,                0.28018,                 2.2754,                 1.9883,                 1.8442,             0.00017338,             0.00017338,             0.00017338
                     89,                 1.3057,                 1.1965,                 1.1299,                0.57844,                0.65259,                 0.6527,                0.28018,                 2.2754,                 1.9883,                 1.8442,               0.000161,               0.000161,               0.000161
                     90,                 1.4155,                 1.3559,                 1.1834,                0.56226,                 0.6635,                0.65156,                0.29117,                 2.2466,                 1.9508,                 1.8577,             0.00014862,             0.00014862,             0.00014862
                     91,                  1.392,                 1.3383,                 1.1987,                0.56226,                 0.6635,                0.65156,                0.29117,                 2.2466,                 1.9508,                 1.8577,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.5151,                 1.4559,                 1.1575,                0.60609,                0.67717,                0.65415,                 0.2929,                 2.2499,                 1.9539,                 1.8623,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.4069,                 1.5899,                 1.2014,                0.60609,                0.67717,                0.65415,                 0.2929,                 2.2499,                 1.9539,                 1.8623,              0.0001115,              0.0001115,              0.0001115
                     94,                  1.483,                 1.3731,                 1.0968,                0.71034,                0.63966,                0.67368,                0.30065,                 2.2441,                 1.9635,                 1.8296,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.4479,                 1.1953,                  1.116,                0.71034,                0.63966,                0.67368,                0.30065,                 2.2441,                 1.9635,                 1.8296,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.3928,                 1.2205,                 1.0935,                0.69861,                  0.615,                0.67609,                0.29513,                 2.2604,                 1.9291,                 1.8405,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 1.6877,                 1.5109,                 1.2462,                0.69861,                  0.615,                0.67609,                0.29513,                 2.2604,                 1.9291,                 1.8405,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 1.4121,                 1.2487,                 1.1281,                0.73895,                0.70086,                0.69788,                0.30968,                 2.2584,                 1.9301,                  1.814,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 1.4433,                 1.2203,                 1.1122,                0.73895,                0.70086,                0.69788,                0.30968,                 2.2584,                 1.9301,                  1.814,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 1.3768,                 1.4425,                 1.1701,                0.73973,                0.70906,                0.70328,                 0.3116,                 2.2742,                 1.9254,                 1.8263,             2.4875e-05,             2.4875e-05,             2.4875e-05
